Datapoints,Dim,Total,MCMC,lhood,mvmul,reduction,upd_data,upd_values,acc_init
4000,3,0.200,0.190,0.170,0.040,0.120,0.0,0.0,0.0
4000,10,0.230,0.200,0.190,0.090,0.100,0.0,0.0,0.0
4000,50,0.940,0.850,0.770,0.700,0.070,0.0,0.0,0.0
40000,3,1.320,1.300,1.250,0.320,0.930,0.0,0.0,0.0
40000,10,1.920,1.910,1.800,0.950,0.850,0.0,0.0,0.0
40000,50,7.710,7.640,7.040,6.270,0.770,0.0,0.0,0.0
400000,3,12.890,12.870,12.410,3.970,8.430,0.0,0.0,0.0
400000,10,18.740,18.720,17.530,9.180,8.350,0.0,0.0,0.0
400000,50,78.060,77.980,72.460,64.020,8.430,0.0,0.0,0.0
4000000,3,127.900,127.890,124.280,40.230,84.050,0.0,0.0,0.0
4000000,10,197.960,197.940,186.610,102.590,84.020,0.0,0.0,0.0
4000000,50,777.480,777.420,722.730,638.570,84.160,0.0,0.0,0.0
